"Date","Price","Open","High","Low","Change %"
"Sep 08, 1991","1.2149","1.2149","1.2220","1.1842","1.41%"
"Sep 01, 1991","1.1980","1.1980","1.1980","1.1744","1.91%"
"Aug 25, 1991","1.1755","1.1755","1.1877","1.1671","0.13%"
"Aug 18, 1991","1.1740","1.1740","1.1894","1.1267","0.97%"
"Aug 11, 1991","1.1627","1.1627","1.1914","1.1627","-1.96%"
"Aug 04, 1991","1.1860","1.1860","1.2056","1.1808","0.56%"
"Jul 28, 1991","1.1794","1.1794","1.1844","1.1620","0.17%"
"Jul 21, 1991","1.1774","1.1774","1.1858","1.1599","0.09%"
"Jul 14, 1991","1.1764","1.1764","1.1775","1.1405","2.44%"
"Jul 07, 1991","1.1484","1.1484","1.1513","1.1179","1.95%"
"Jun 30, 1991","1.1264","1.1264","1.1375","1.1165","-0.80%"
"Jun 23, 1991","1.1355","1.1355","1.1534","1.1290","-0.26%"
"Jun 16, 1991","1.1385","1.1385","1.1545","1.1262","-0.38%"
"Jun 09, 1991","1.1429","1.1429","1.1662","1.1383","-1.64%"
"Jun 02, 1991","1.1620","1.1620","1.1837","1.1599","-1.56%"
"May 26, 1991","1.1804","1.1804","1.2132","1.1795","-2.04%"
"May 19, 1991","1.2050","1.2050","1.2052","1.1679","1.26%"
"May 12, 1991","1.1900","1.1900","1.2229","1.1900","-0.40%"
"May 05, 1991","1.1948","1.1948","1.2004","1.1772","1.74%"
"Apr 28, 1991","1.1744","1.1744","1.2163","1.1551","-0.17%"
"Apr 21, 1991","1.1764","1.1764","1.1900","1.1688","-1.19%"
"Apr 14, 1991","1.1906","1.1906","1.2427","1.1892","-3.01%"
"Apr 07, 1991","1.2275","1.2275","1.2433","1.2153","-0.18%"
"Mar 31, 1991","1.2297","1.2297","1.2452","1.2105","1.47%"
"Mar 24, 1991","1.2119","1.2119","1.2460","1.1972","-3.18%"
"Mar 17, 1991","1.2517","1.2517","1.2830","1.2317","-2.52%"
"Mar 10, 1991","1.2840","1.2840","1.3138","1.2840","-2.34%"
"Mar 03, 1991","1.3148","1.3148","1.3464","1.3148","-1.62%"
"Feb 24, 1991","1.3365","1.3365","1.3675","1.3357","-2.39%"
"Feb 17, 1991","1.3692","1.3692","1.3947","1.3692","-1.60%"
