"Date","Price","Open","High","Low","Change %"
"Jan 17, 1993","5.7750","5.7750","5.7750","5.7750","0.26%"
"Jan 10, 1993","5.7600","5.7600","5.7600","5.7600","0.00%"
"Jan 03, 1993","5.7600","5.7600","5.7600","5.7600","0.14%"
"Dec 27, 1992","5.7518","5.7518","5.7518","5.7518","0.00%"
"Dec 20, 1992","5.7518","5.7518","5.7518","5.7518","-1.68%"
"Dec 13, 1992","5.8500","5.8500","5.8500","5.8500","0.09%"
"Dec 06, 1992","5.8450","5.8450","5.8450","5.8450","1.01%"
"Nov 29, 1992","5.7864","5.7864","5.7864","5.7864","1.60%"
"Nov 22, 1992","5.6955","5.6955","5.6955","5.6955","0.63%"
"Nov 15, 1992","5.6600","5.6600","5.6600","5.6600","1.54%"
"Nov 08, 1992","5.5742","5.5742","5.5742","5.5742","0.17%"
"Nov 01, 1992","5.5650","5.5650","5.5650","5.5650","0.23%"
"Oct 25, 1992","5.5525","5.5525","5.5525","5.5525","0.02%"
"Oct 18, 1992","5.5515","5.5515","5.5515","5.5515","0.21%"
"Oct 11, 1992","5.5400","5.5400","5.5400","5.5400","0.00%"
"Oct 04, 1992","5.5400","5.5400","5.5400","5.5400","0.72%"
"Sep 27, 1992","5.5002","5.5002","5.5002","5.5002","-0.34%"
"Sep 20, 1992","5.5190","5.5190","5.5190","5.5190","0.07%"
"Sep 13, 1992","5.5150","5.5150","5.5150","5.5150","0.22%"
"Sep 06, 1992","5.5028","5.5028","5.5028","5.5028","0.69%"
"Aug 30, 1992","5.4651","5.4651","5.4651","5.4651","1.09%"
"Aug 23, 1992","5.4064","5.4064","5.4064","5.4064","-0.43%"
"Aug 16, 1992","5.4300","5.4300","5.4300","5.4300","-0.21%"
"Aug 09, 1992","5.4412","5.4412","5.4412","5.4412","-0.14%"
"Aug 02, 1992","5.4486","5.4486","5.4486","5.4486","0.53%"
"Jul 26, 1992","5.4200","5.4200","5.4200","5.4200","0.00%"
"Jul 19, 1992","5.4200","5.4200","5.4200","5.4200","-0.52%"
"Jul 12, 1992","5.4485","5.4485","5.4485","5.4485","-0.18%"
"Jul 05, 1992","5.4585","5.4585","5.4585","5.4585","-0.07%"
"Jun 28, 1992","5.4621","5.4621","5.4621","5.4621","0.00%"
"Jun 21, 1992","5.4621","5.4621","5.4621","5.4621","-0.23%"
"Jun 14, 1992","5.4747","5.4747","5.4747","5.4747","-0.10%"
"Jun 07, 1992","5.4800","5.4800","5.4800","5.4800","-0.09%"
"May 31, 1992","5.4850","5.4850","5.4850","5.4850","-0.11%"
"May 24, 1992","5.4911","5.4911","5.4911","5.4911","-0.16%"
"May 17, 1992","5.5000","5.5000","5.5000","5.5000","0.00%"
"May 10, 1992","5.5000","5.5000","5.5000","5.5000","-0.36%"
"May 03, 1992","5.5200","5.5200","5.5200","5.5200","0.18%"
"Apr 26, 1992","5.5101","5.5101","5.5101","5.5101","-0.03%"
"Apr 19, 1992","5.5116","5.5116","5.5116","5.5116","-0.13%"
"Apr 12, 1992","5.5190","5.5190","5.5190","5.5190","0.98%"
"Apr 05, 1992","5.4655","5.4655","5.4655","5.4655","-0.04%"
"Mar 29, 1992","5.4675","5.4675","5.4675","5.4675","-0.05%"
"Mar 22, 1992","5.4700","5.4700","5.4700","5.4700","-0.17%"
