"Date","Price","Open","High","Low","Change %"
"Mar 10, 1991","19.152","19.152","19.188","19.093","0.23%"
"Mar 03, 1991","19.108","19.108","19.126","19.020","0.08%"
"Feb 24, 1991","19.093","19.093","19.146","19.037","0.27%"
"Feb 17, 1991","19.042","19.042","19.177","18.956","0.84%"
"Feb 10, 1991","18.884","18.884","18.930","18.709","0.72%"
"Feb 03, 1991","18.749","18.749","18.779","18.574","0.67%"
"Jan 27, 1991","18.624","18.624","18.686","18.464","1.12%"
"Jan 20, 1991","18.418","18.418","18.493","18.408","-0.15%"
"Jan 13, 1991","18.445","18.445","18.464","18.381","0.64%"
"Jan 06, 1991","18.328","18.328","18.357","18.157","1.19%"
"Dec 30, 1990","18.113","18.113","18.223","18.059","-0.31%"
"Dec 23, 1990","18.169","18.169","18.285","18.169","-0.21%"
"Dec 16, 1990","18.207","18.207","18.255","18.128","0.33%"
"Dec 09, 1990","18.147","18.147","18.170","18.069","0.31%"
"Dec 02, 1990","18.091","18.091","18.212","18.088","-0.53%"
"Nov 25, 1990","18.187","18.187","18.207","18.059","0.72%"
"Nov 18, 1990","18.057","18.057","18.127","18.020","-0.21%"
"Nov 11, 1990","18.095","18.095","18.177","18.085","-0.13%"
"Nov 04, 1990","18.119","18.119","18.188","18.106","0.06%"
"Oct 28, 1990","18.108","18.108","18.268","18.108","0.20%"
"Oct 21, 1990","18.072","18.072","18.164","18.072","-0.24%"
"Oct 14, 1990","18.116","18.116","18.132","17.968","0.65%"
"Oct 07, 1990","17.999","17.999","18.108","17.902","-0.56%"
